Player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Marquesha Davis,TOT,G,11,52,11,0,52,2,10,.200,0,4,.000,2,6,.333,6,7,.857,3,7,1,0,2,6,3,10
Haley Jones,TOT,F-G,17,338,17,5,338,48,105,.457,7,19,.368,41,86,.477,12,16,.750,9,47,32,11,11,23,37,115
Liatu King,TOT,F,14,136,14,0,136,13,27,.481,1,6,.167,12,21,.571,11,15,.733,12,29,4,2,0,11,14,38
Diamond Miller,TOT,F,27,262,27,0,262,33,71,.465,14,27,.519,19,44,.432,29,35,.829,4,24,16,9,4,22,43,109
Tiffany Mitchell,TOT,G,27,404,27,3,404,30,83,.361,8,25,.320,22,58,.379,32,44,.727,10,37,10,12,7,18,45,100
Alissa Pili,TOT,F,15,85,15,0,85,10,23,.435,4,12,.333,6,11,.545,4,6,.667,4,17,3,2,0,7,11,28
NaLyssa Smith,TOT,F,33,676,33,29,676,93,192,.484,4,17,.235,89,175,.509,49,83,.590,65,181,24,19,23,38,96,239
Brittney Sykes,TOT,G,26,803,26,25,803,125,331,.378,23,73,.315,102,258,.395,126,161,.783,12,87,115,31,10,70,72,399
Stephanie Talbot,TOT,F,25,404,25,10,404,32,85,.376,13,47,.277,19,38,.500,15,23,.652,20,83,47,17,6,32,35,92
Sevgi Uzun,TOT,G,12,184,12,0,184,12,37,.324,2,13,.154,10,24,.417,5,8,.625,1,14,29,7,3,21,18,31
Julie Vanloo,TOT,G,22,323,22,2,323,28,84,.333,21,72,.292,7,12,.583,5,6,.833,4,26,53,9,0,39,33,82
Li Yueru,TOT,C,28,474,28,12,474,54,133,.406,17,44,.386,37,89,.416,39,46,.848,51,136,26,7,7,28,54,164
Grace Berger,LAS,G,1,16,1,0,16,0,4,.000,0,2,.000,0,2,.000,0,0,,1,1,1,0,0,3,1,0
Chloe Bibby,GSV,F,5,66,5,0,66,11,27,.407,8,19,.421,3,8,.375,2,2,1.000,3,14,3,3,0,0,6,32
DeWanna Bonner,IND,G-F,9,192,9,3,192,19,55,.345,9,25,.360,10,30,.333,17,19,.895,4,34,14,10,1,9,13,64
DiJonai Carrington,DAL,G-F,20,497,20,13,497,74,209,.354,13,50,.260,61,159,.384,47,57,.825,41,102,36,21,9,49,51,208
Kaila Charles,DAL,G-F,17,269,17,4,269,29,80,.363,10,30,.333,19,50,.380,22,27,.815,25,68,18,9,4,16,32,90
Alysha Clark,SEA,F,27,485,27,7,485,34,90,.378,16,55,.291,18,35,.514,11,13,.846,9,64,28,19,2,17,53,95
Marquesha Davis,NYL,G,9,31,9,0,31,1,4,.250,0,3,.000,1,1,1.000,6,7,.857,1,5,1,0,1,3,2,8
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Haley Jones,PHO,F-G,4,48,4,0,48,4,12,.333,1,2,.500,3,10,.300,0,0,,2,8,4,1,1,2,4,9
Liatu King,LAS,F,12,120,12,0,120,12,24,.500,1,6,.167,11,18,.611,11,15,.733,10,25,4,2,0,11,12,36
Diamond Miller,MIN,F,25,243,25,0,243,30,63,.476,14,26,.538,16,37,.432,28,33,.848,4,22,15,8,4,20,38,102
Tiffany Mitchell,LVA,G,16,210,16,2,210,16,41,.390,4,13,.308,12,28,.429,23,29,.793,6,29,7,6,3,14,25,59
Alissa Pili,MIN,F,14,82,14,0,82,10,22,.455,4,11,.364,6,11,.545,3,4,.750,4,17,3,2,0,7,11,27
NaLyssa Smith,DAL,F,18,344,18,15,344,45,106,.425,2,11,.182,43,95,.453,29,47,.617,29,89,14,7,16,17,42,121
Brittney Sykes,WAS,G,25,774,25,25,774,120,317,.379,21,66,.318,99,251,.394,124,158,.785,12,85,109,31,8,68,67,385
Stephanie Talbot,GSV,F,16,268,16,10,268,20,59,.339,8,32,.250,12,27,.444,9,14,.643,14,53,32,9,1,19,21,57
Sevgi Uzun,PHO,G,7,102,7,0,102,3,14,.214,1,8,.125,2,6,.333,4,6,.667,0,6,14,4,3,10,9,11
Julie Vanloo,GSV,G,9,180,9,2,180,14,48,.292,8,38,.211,6,10,.600,5,6,.833,2,17,37,6,0,23,16,41
Li Yueru,SEA,C,9,78,9,0,78,6,20,.300,2,4,.500,4,16,.250,11,12,.917,4,14,6,1,0,7,13,25
Grace Berger,DAL,G,5,89,5,0,89,6,22,.273,0,6,.000,6,16,.375,0,2,.000,3,18,12,4,1,3,13,12
Haley Jones,DAL,F-G,13,290,13,5,290,44,93,.473,6,17,.353,38,76,.500,12,16,.750,7,39,28,10,10,21,33,106
Chloe Bibby,IND,F,7,69,7,0,69,6,21,.286,6,18,.333,0,3,.000,6,7,.857,1,8,4,4,1,4,6,24
Sevgi Uzun,CHI,G,5,82,5,0,82,9,23,.391,1,5,.200,8,18,.444,1,2,.500,1,8,15,3,0,11,9,20
DeWanna Bonner,PHO,G-F,11,265,11,1,265,41,93,.441,14,41,.341,27,52,.519,31,37,.838,13,52,11,5,3,6,10,127
Marquesha Davis,CHI,G,2,21,2,0,21,1,6,.167,0,1,.000,1,5,.200,0,0,,2,2,0,0,1,3,1,2
Julie Vanloo,LAS,G,13,143,13,0,143,14,36,.389,13,34,.382,1,2,.500,0,0,,2,9,16,3,0,16,17,41
Li Yueru,DAL,C,19,396,19,12,396,48,113,.425,15,40,.375,33,73,.452,28,34,.824,47,122,20,6,7,21,41,139
Liatu King,DAL,F,2,16,2,0,16,1,3,.333,0,0,,1,3,.333,0,0,,2,4,0,0,0,0,2,2
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Alissa Pili,LAS,F,1,3,1,0,3,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1
Tiffany Mitchell,SEA,G,11,194,11,1,194,14,42,.333,4,12,.333,10,30,.333,9,15,.600,4,8,3,6,4,4,20,41
Stephanie Talbot,NYL,F,9,136,9,0,136,12,26,.462,5,15,.333,7,11,.636,6,9,.667,6,30,15,8,5,13,14,35
Kaila Charles,GSV,G-F,4,75,4,0,75,12,19,.632,5,8,.625,7,11,.636,2,2,1.000,10,19,4,3,1,4,7,31
NaLyssa Smith,LVA,F,15,332,15,14,332,48,86,.558,2,6,.333,46,80,.575,20,36,.556,36,92,10,12,7,21,54,118
DiJonai Carrington,MIN,G-F,2,47,2,0,47,9,14,.643,3,5,.600,6,9,.667,4,7,.571,1,6,2,4,2,4,6,25
Diamond Miller,DAL,F,2,19,2,0,19,3,8,.375,0,1,.000,3,7,.429,1,2,.500,0,2,1,1,0,2,5,7
Brittney Sykes,SEA,G,1,29,1,0,29,5,14,.357,2,7,.286,3,7,.429,2,3,.667,0,2,6,0,2,2,5,14
Alysha Clark,WAS,F,1,13,1,0,13,1,3,.333,1,1,1.000,0,2,.000,0,0,,1,2,2,0,0,0,0,3
